,input,output,label
0,"translate English to English: foreigners, vin, reckless and t easily moved to murderous rage.","Foreigners, vindictive, reckless, and tetrasive, easily moved","foreigners, vindictive, reckless, and truculent ruffians, easily moved to murderous rage."
1,"translate English to English: cummings was repeatedly run for the offense of coin and utter bad money, whether coin or notes.","Cummings was repeatedly run for the offense of coining and uttering bad money,","Cummings was repeatedly ""run in"" for the offense of coining and uttering bad money, whether coin or notes."
2,"translate English to English: through the aperture, he crept out onto the landing at the dead of night and so down into the central space of the building.","Through the aperture he crept out onto the landing at the dead of night, and so","Through the aperture he crept out on to the landing at the dead of night, and so down into the central space of the building."
3,"translate English to English: two other witnesses, Sam Gin, and William Arthur Smith","Two other witnesses, Sam Ginnigan and William Arthur Smith,","Two other witnesses, Sam Guinyard and William Arthur Smith,"
4,translate English to English: to those in other London prisons for new was not the only place of endurance for these unfortunate people. There were also the king's bench.,to those in other London prisons for Newgate was not the only place of endurance for these,"to those in other London prisons, for Newgate was not the only place of durance for these unfortunate people. There were also the King's Bench,"
5,translate English to English: shall employ all means to write this gross mistake or injustice to a bona. Us citizen and ex service,shall employ all means to write this gross mistake or injustice to a bona fide.,I shall employ all means to right this gross mistake or injustice to a bona fide U.S. citizen and ex-service man.
6,"translate English to English: protecting the president is a difficult and complex task, which requires full use of the best resources of many parts of our government.",Protecting the President is a difficult and complex task which requires full use of the best resources,Protecting the President is a difficult and complex task which requires full use of the best resources of many parts of our Government.
7,"translate English to English: here once more, the almost variable modern practice is in opposition to a natural sense of proportion.",Here once more the almost variable modern practice is in opposition to a natural sense of proportion.,Here once more the almost invariable modern practice is in opposition to a natural sense of proportion.
8,translate English to English: the presence and authority of the governor himself became indispensable.,The presence and authority of the governor himself became indispensable.,but the presence and authority of the governor himself became indispensable.
9,"translate English to English: a sole exception was the weekend of November sixteenth to seventeen nineteen sixty three, the weekend before the assassination","The sole exception was the weekend of November 16 to 17, 1963, the weekend before the ass","The sole exception was the weekend of November 16 to 17, 1963, the weekend before the assassination,"
10,"translate English to English: the emperor Julian was marching forward through Babylon,","When the Emperor Julian was marching forward through Babylon,","As the Emperor Julian was marching forward through Babylonia,"
11,"translate English to English: at eleven forty five Pm on November twenty two,","At 11:45 p.m. on November 22,","At 11:45 p.m. on November 22,"
12,"translate English to English: had made only a few brief visits to the state since the nineteen sixty presidential campaign. And in nineteen sixty two, he began to consider a formal visit.","He had made only a few brief visits to the State since the 1960 Presidential campaign, and",He had made only a few brief visits to the State since the 1960 Presidential campaign and in 1962 he began to consider a formal visit.
13,translate English to English: and there was now evidence sufficient to establish conclusive that the woman thus collected peace meal had been barb done to death.,and there was now evidence sufficient to establish conclusive that the woman thus collected peace meal had,and there was now evidence sufficient to establish conclusively that the woman thus collected piecemeal had been barbarously done to death.
