,input,output,label
0,"foreigners, vin, reckless and t easily moved to murderous rage.","detectives , weighing , reckless and t easily to o rage .","foreigners, vindictive, reckless, and truculent ruffians, easily moved to murderous rage."
1,"cummings was repeatedly run for the offense of coin and utter bad money, whether coin or notes.","cummings was observed run for the offense of crescent and utter bad money , whether dating or meet .","Cummings was repeatedly ""run in"" for the offense of coining and uttering bad money, whether coin or notes."
2,"through the aperture, he crept out onto the landing at the dead of night and so down into the central space of the building.","through the aperture , he handicapped out onto the landing at the dead of night and so down into the central space of the building .","Through the aperture he crept out on to the landing at the dead of night, and so down into the central space of the building."
3,"two other witnesses, Sam Gin, and William Arthur Smith","two other witnesses , wynkyn shanklin , and william arthur smith","Two other witnesses, Sam Guinyard and William Arthur Smith,"
4,to those in other London prisons for new was not the only place of endurance for these unfortunate people. There were also the king's bench.,to those in other london prisons for new was not the only place of the leading leading people . there were also the kings bench .,"to those in other London prisons, for Newgate was not the only place of durance for these unfortunate people. There were also the King's Bench,"
5,shall employ all means to write this gross mistake or injustice to a bona. Us citizen and ex service,shall employ all means to write this gross mistake or injustice to a constant . us arthur and uncompromising service,I shall employ all means to right this gross mistake or injustice to a bona fide U.S. citizen and ex-service man.
6,"protecting the president is a difficult and complex task, which requires full use of the best resources of many parts of our government.","protecting the president is a difficult and complex task , which requires full use of the best resources of many parts of our government .",Protecting the President is a difficult and complex task which requires full use of the best resources of many parts of our Government.
7,"here once more, the almost variable modern practice is in opposition to a natural sense of proportion.","here once more , the almost harvest modern is in removing to a natural sense of proportion .",Here once more the almost invariable modern practice is in opposition to a natural sense of proportion.
8,the presence and authority of the governor himself became indispensable.,the presence and authority of the governor himself for everyday .,but the presence and authority of the governor himself became indispensable.
9,"a sole exception was the weekend of November sixteenth to seventeen nineteen sixty three, the weekend before the assassination","a uncle permitted was the weekend of november sixteenth to planned tale sixty , the browning before the assassination","The sole exception was the weekend of November 16 to 17, 1963, the weekend before the assassination,"
10,"the emperor Julian was marching forward through Babylon,","the unanswered refugee forward through babylon ,","As the Emperor Julian was marching forward through Babylonia,"
11,"at eleven forty five Pm on November twenty two,","at eleven relieve surprise on november twenty two ,","At 11:45 p.m. on November 22,"
12,"had made only a few brief visits to the state since the nineteen sixty presidential campaign. And in nineteen sixty two, he began to consider a formal visit.","had made only a few brief visits to the state since the requirement crowding presidential personality . and in remedying dissolute two , he hugged to consider a reduced visit .",He had made only a few brief visits to the State since the 1960 Presidential campaign and in 1962 he began to consider a formal visit.
13,and there was now evidence sufficient to establish conclusive that the woman thus collected peace meal had been barb done to death.,and there was now evidence sufficient to establish blank that the woman thus collected peace barber had been denounced awaiting general schoeffer done to death .,and there was now evidence sufficient to establish conclusively that the woman thus collected piecemeal had been barbarously done to death.
14,"which presently followed and again found himself an inmate of new gate, waking trial as a receiver and a prison breaker.","which presently followed and again found himself an inmate of new gate , verifying trial as a receiver and a jails and a prison agonized .","which presently followed, and again found himself an inmate of Newgate, waiting trial as a receiver and a prison-breaker."
15,for this purpose he gave or there was the strongest presumption that he gave,for this purpose he gave or there was the provision bequeathing that he gave,"For this purpose he gave, or there was the strongest presumption that he gave,"
16,"this vest door is solid, except for a small glass window in the upper part of the door.","this occipital door is solid , except for a small glass window in the upper part of the door .",This vestibule door is solid except for a small glass window in the upper part of the door.
17,"turning around the topics of omni and power, through which he tries to compensate for his present shortcomings and frustrations quote,","turning around the twentyfive of scourging and power , through which he maimed to compensate for his present selfconfident and brutally quote ,","turning around the topics of omnipotence and power, through which he tries to compensate for his present shortcomings and frustrations, end quote."
18,"do not get greatly excited, nor is our peace of mind disturbed? Whether we be business men or workers or farmers,","do not get greatly unoccupied , nor is our peace of mind disturbed ? whether we be business men or workers ,","We do not get greatly excited nor is our peace of mind disturbed, whether we be businessmen or workers or farmers,"
19,"Sunday, November seventeen nineteen sixty three,","go astonished pale bears three ,","On Sunday, November 17, 1963,"
20,"on the Mon monroe silent reading test, Lee's score indicated no re in reading speed and comprehension.","on the disbandment evaluates silent test , lees score indicated no ketch in reading speed and invitations .","On the Monroe Silent Reading Test, Lee's score indicated no retardation in reading speed and comprehension;"
21,given thought this was about eleven fifty five Am.,given thought this about eleven fifty anticastro am .,Givens thought this was about 11:55 a.m.
22,who wrote to the times saying that he believed a site so inc awful,who wrote to the times saying that he believed a waitress and rheumatism awful,"who wrote to the 'Times,' saying that he believed ""a sight so inconceivably awful"
23,"he might have expected difficulty from such an approach, in fact,","he might have expected from such an approach , in fact ,","While he might have expected difficulty from such an approach, in fact"
24,"Ru w Young blood, special agent in charge of the vice president's detail","soandso w williams blood , special agent in charge of the vice presidents detail","Rufus W. Youngblood, special agent in charge of the Vice President's detail,"
25,Castle one's type is clear and neat and fairly well designed.,dyspepsia greer is clear and through and fairly well designed .,"Caslon's type is clear and neat, and fairly well designed;"
26,"there are after all, only a few types of structure among all animals and plants. Some three or four or eight or ten general modes of development,","there are after all , only a few types of structure among all animals and plants . some three or four or shoes or ten trial of development ,","there are, after all, only a few types of structure among all animals and plants, some three or four or eight or ten general modes of development,"
27,"the absurdity of the system, it's irregular irregularities and cruelty, we're fully touched upon by the inspectors of prisons in their first report.","the centuries of the system , its begetter entrusted and twentyfive , were fully touched upon by the inspectors of prisons in their first report .","The absurdity of the system, its irregularity and cruelty, were fully touched upon by the inspectors of prisons in their first report."
28,probably his complaint was due to the fact that his discharge was not related to anything he had done while on active duty.,probably his health was due to the fact that his discharge was not related to anything he had done while on active duty .,Probably his complaint was due to the fact that his discharge was not related to anything he had done while on active duty
