,input,output,label
0,translate English to English: foreigners vindictive Reckless and truculent Ruffians easily moved to murderous rage,"Foreigners, vindictive, reckless, and truculent ruffians, easily moved","foreigners, vindictive, reckless, and truculent ruffians, easily moved to murderous rage."
1,translate English to English: Cummings was repeatedly run in for the offense of coining and uttering bad money whether coin or notes,Cummings was repeatedly run in for the offense of coining and uttering bad money,"Cummings was repeatedly ""run in"" for the offense of coining and uttering bad money, whether coin or notes."
2,translate English to English: through the aperture he crept out onto the landing at the dead of night and so down into the central space of the building,"Through the aperture he crept out onto the landing at the dead of night, and so","Through the aperture he crept out on to the landing at the dead of night, and so down into the central space of the building."
3,translate English to English: two other Witnesses Sam ginyard and William Arthur Smith,"Two other witnesses, Sam Ginyard and William Arthur Smith,","Two other witnesses, Sam Guinyard and William Arthur Smith,"
4,translate English to English: to those in other London prisons for new gate was not the only place of Durance for these unfortunate people there were also the Kings bench,"To those in other London prisons, Newgate was not the only place of durance for","to those in other London prisons, for Newgate was not the only place of durance for these unfortunate people. There were also the King's Bench,"
5,translate English to English: Marshall employee all means to write this gross mistake or Injustice to a bona fide US citizen and ex-servicemen,Marshall employed all means to write this gross mistake or injustice to a bona fide U,I shall employ all means to right this gross mistake or injustice to a bona fide U.S. citizen and ex-service man.
6,translate English to English: protecting the president is a difficult and complex task which requires full use of the best resources of many parts of our government,Protecting the President is a difficult and complex task which requires full use of the best resources,Protecting the President is a difficult and complex task which requires full use of the best resources of many parts of our Government.
7,translate English to English: here once more the almost invariable modern practice is in opposition to a natural sense of proportion,Here once more the almost invariable modern practice is in opposition to a natural sense of,Here once more the almost invariable modern practice is in opposition to a natural sense of proportion.
8,translate English to English: the presence and authority of the governor himself became indispensable,The presence and authority of the governor himself became indispensable.,but the presence and authority of the governor himself became indispensable.
9,translate English to English: the sole exception was the weekend of November 16th to 17 1963 the weekend before the assassination,"The sole exception was the weekend of November 16 to 17, 1963, the weekend before the ass","The sole exception was the weekend of November 16 to 17, 1963, the weekend before the assassination,"
10,translate English to English: as the emperor Julian was marching forward through Babylonia,"As the Emperor Julian was marching forward through Babylonia,","As the Emperor Julian was marching forward through Babylonia,"
11,translate English to English: at 11:45 p.m. on November twenty-two,At 11:45 p.m. on November 22,"At 11:45 p.m. on November 22,"
12,translate English to English: he had made only a few brief visits to the state since the 1960 presidential campaign he began to consider,He had made only a few brief visits to the State since the 1960 Presidential campaign. He,He had made only a few brief visits to the State since the 1960 Presidential campaign and in 1962 he began to consider a formal visit.
13,translate English to English: and it was now evidence sufficient to establish conclusively that the woman that's collected piecemeal had been barbarously done to death,and it was now evidence sufficient to establish conclusively that the woman that collected piecemeal,and there was now evidence sufficient to establish conclusively that the woman thus collected piecemeal had been barbarously done to death.
14,translate English to English: which presently followed and found himself an inmate of Newgate,"which presently followed, and found himself an inmate of Newgate.","which presently followed, and again found himself an inmate of Newgate, waiting trial as a receiver and a prison-breaker."
15,translate English to English: for this purpose he gave or there was the strongest presumption that he gave,"For this purpose he gave, or there was the strongest presumption that he","For this purpose he gave, or there was the strongest presumption that he gave,"
16,translate English to English: this Festival door is solid except for a small glass window in the upper part of the door,"This festival door is solid, except for a small glass window in the upper part of the",This vestibule door is solid except for a small glass window in the upper part of the door.
17,translate English to English: turning around the topics of omnipotence and power for which he tries to compensate for his present shortcomings and frustrations and quote,turning around the topics of omnipotence and power for which he tries to compensate,"turning around the topics of omnipotence and power, through which he tries to compensate for his present shortcomings and frustrations, end quote."
18,translate English to English: we do not get greatly excited nor is our Peace of Mind Disturbed whether we be businessman or workers or farmers,"We do not get greatly excited, nor is our peace of mind disturbed, whether we","We do not get greatly excited nor is our peace of mind disturbed, whether we be businessmen or workers or farmers,"
19,translate English to English: on Sunday November 17th 1963,"On Sunday, November 17, 1963,","On Sunday, November 17, 1963,"
20,translate English to English: on the Monroe silent reading test Please score indicated no retardation and reading speed and comprehension,"On the Monroe silent reading test, Please score indicated no retardation in reading speed and comprehension.","On the Monroe Silent Reading Test, Lee's score indicated no retardation in reading speed and comprehension;"
21,translate English to English: Givens thought this was about 11:55 a.m.,Givens thought this was about 11:55 a.m.,Givens thought this was about 11:55 a.m.
22,translate English to English: who wrote to the time saying that he believes a site so inconceivably awful,"who wrote to the time, saying that he believes a site so inconceivably awful","who wrote to the 'Times,' saying that he believed ""a sight so inconceivably awful"
23,translate English to English: expected difficulty from such an approach in fact,"had expected difficulty from such an approach, in fact,","While he might have expected difficulty from such an approach, in fact"
24,translate English to English: Rufus W Youngblood special agent-in-charge of the vice-presidents to tail,"Rufus W. Youngblood, special agent in charge of the Vice-Presidents to","Rufus W. Youngblood, special agent in charge of the Vice President's detail,"
25,translate English to English: Ashland's type is clear and neat and fairly well-designed,The Ashland type is clear and neat and fairly well designed.,"Caslon's type is clear and neat, and fairly well designed;"
26,translate English to English: there are after all only a few types of structure class 3 or 4 or 8,"There are, after all, only a few types of structure, class 3 or 4 or","there are, after all, only a few types of structure among all animals and plants, some three or four or eight or ten general modes of development,"
27,translate English to English: absurdity of the system it's irregularity and cruelty we're fully touched upon by the inspectors of prisons in their first report,"The absurdity of the system, its irregularity and cruelty were fully touched upon by the inspector","The absurdity of the system, its irregularity and cruelty, were fully touched upon by the inspectors of prisons in their first report."
28,translate English to English: probably his complaint was due to the fact that his discharge was not related to anything he had done while on active duty,Probably his complaint was due to the fact that his discharge was not related to anything he,Probably his complaint was due to the fact that his discharge was not related to anything he had done while on active duty
29,translate English to English: caseload of each FBI agent average 2225,The caseload of each FBI agent averaged 2225.,"the caseload of each FBI agent averaged 20 to 25, and he felt that this was high."
30,translate English to English: I never said anything to him and he never said anything to me again and quote,"I never said anything to him and he never said anything to me again, end quote.","I never said anything to him again and he never said anything to me again, end quote."
