,input,output,label
0,foreigners vindictive Reckless and truculent Ruffians easily moved to murderous rage,"outraged months , , very rage","foreigners, vindictive, reckless, and truculent ruffians, easily moved to murderous rage."
1,Cummings was repeatedly run in for the offense of coining and uttering bad money whether coin or notes,cummings was repeatedly in for the offense of coining and cooperate honest whether tried or notes,"Cummings was repeatedly ""run in"" for the offense of coining and uttering bad money, whether coin or notes."
2,through the aperture he crept out onto the landing at the dead of night and so down into the central space of the building,through the aperture he sum out onto the landing at the dead of night and so down down into the followup space of the building,"Through the aperture he crept out on to the landing at the dead of night, and so down into the central space of the building."
3,two other Witnesses Sam ginyard and William Arthur Smith,two wristjoint they arthur traitors,"Two other witnesses, Sam Guinyard and William Arthur Smith,"
4,to those in other London prisons for new gate was not the only place of Durance for these unfortunate people there were also the Kings bench,to those in other london prisons for new cab was not the only place of durance to these unfortunate people there were also blamed the kings bench,"to those in other London prisons, for Newgate was not the only place of durance for these unfortunate people. There were also the King's Bench,"
5,Marshall employee all means to write this gross mistake or Injustice to a bona fide US citizen and ex-servicemen,blinded employee dark to write this community mistake or overlooked to a bona dangerous and stretching spokes and revelries,I shall employ all means to right this gross mistake or injustice to a bona fide U.S. citizen and ex-service man.
6,protecting the president is a difficult and complex task which requires full use of the best resources of many parts of our government,violence the president is a difficult and complex task which requires full use of the best cities of many parts of our government,Protecting the President is a difficult and complex task which requires full use of the best resources of many parts of our Government.
7,here once more the almost invariable modern practice is in opposition to a natural sense of proportion,here once the almost benefit died is in opposition to a natural sense of background of detestable utilized,Here once more the almost invariable modern practice is in opposition to a natural sense of proportion.
8,the presence and authority of the governor himself became indispensable,the presence of the rich amateur custom bedding consideration walker,but the presence and authority of the governor himself became indispensable.
9,the sole exception was the weekend of November 16th to 17 1963 the weekend before the assassination,"the effectually , the weekend th prosperously to the slighted capability","The sole exception was the weekend of November 16 to 17, 1963, the weekend before the assassination,"
10,as the emperor Julian was marching forward through Babylonia,as the messed forward,"As the Emperor Julian was marching forward through Babylonia,"
