,input,output,label
0,"merge sentence1: foreigners vindictive Reckless and truculent Ruffians easily moved to murderous rage sentence2: Foreigners been dictive reckless and sentence3: foreigners, vin, reckless and t easily moved to murderous rage.","Foreigners, vindictive, reckless, and truculent ruffians, easily moved","foreigners, vindictive, reckless, and truculent ruffians, easily moved to murderous rage."
1,"merge sentence1: Cummings was repeatedly run in for the offense of coining and uttering bad money whether coin or notes sentence2: Cummings was repeatedly run in for the offensive coining and uttering bad money sentence3: cummings was repeatedly run for the offense of coin and utter bad money, whether coin or notes.",Cummings was repeatedly run in for the offense of coining and uttering bad money,"Cummings was repeatedly ""run in"" for the offense of coining and uttering bad money, whether coin or notes."
2,"merge sentence1: through the aperture he crept out onto the landing at the dead of night and so down into the central space of the building sentence2: Through the aperture he crept out onto the landing at the dead of night and so down into the central space of the building sentence3: through the aperture, he crept out onto the landing at the dead of night and so down into the central space of the building.","through the aperture he crept out onto the landing at the dead of night, and so","Through the aperture he crept out on to the landing at the dead of night, and so down into the central space of the building."
3,"merge sentence1: two other Witnesses Sam ginyard and William Arthur Smith sentence2: Two other witnesses Sam Guinyard and William Arthur Smith sentence3: two other witnesses, Sam Gin, and William Arthur Smith","Two other witnesses, Sam Guinyard and William Arthur Smith,","Two other witnesses, Sam Guinyard and William Arthur Smith,"
4,merge sentence1: to those in other London prisons for new gate was not the only place of Durance for these unfortunate people there were also the Kings bench sentence2: To those in other london prisons for new gate was not the only place of durans for these unfortunate people they were also the king's bench sentence3: to those in other London prisons for new was not the only place of endurance for these unfortunate people. There were also the king's bench.,To those in other London prisons for Newgate was not the only place of durance for,"to those in other London prisons, for Newgate was not the only place of durance for these unfortunate people. There were also the King's Bench,"
5,merge sentence1: Marshall employee all means to write this gross mistake or Injustice to a bona fide US citizen and ex-servicemen sentence2: I shall employ all means to write this gross mistake or injustice to a bonafide US citizen and ex serviceman sentence3: shall employ all means to write this gross mistake or injustice to a bona. Us citizen and ex service,"I shall employ all means to ""crie this gross mistake or injustice to a bona",I shall employ all means to right this gross mistake or injustice to a bona fide U.S. citizen and ex-service man.
6,"merge sentence1: protecting the president is a difficult and complex task which requires full use of the best resources of many parts of our government sentence2: Protecting the president is a difficult and complex task which requires full use of the best resources of many parts sentence3: protecting the president is a difficult and complex task, which requires full use of the best resources of many parts of our government.",Protecting the President is a difficult and complex task which requires full use of the best resources,Protecting the President is a difficult and complex task which requires full use of the best resources of many parts of our Government.
7,"merge sentence1: here once more the almost invariable modern practice is in opposition to a natural sense of proportion sentence2: Here once more the almost invariable modern practice is in opposition to a natural sense of proportion sentence3: here once more, the almost variable modern practice is in opposition to a natural sense of proportion.","Here, once more, the almost invariable, modern practice is in opposition to a",Here once more the almost invariable modern practice is in opposition to a natural sense of proportion.
8,merge sentence1: the presence and authority of the governor himself became indispensable sentence2: But the presents and authority of the governor himself became indispensable sentence3: the presence and authority of the governor himself became indispensable.,But the presence and authority of the governor himself became indispensable.,but the presence and authority of the governor himself became indispensable.
9,"merge sentence1: the sole exception was the weekend of November 16th to 17 1963 the weekend before the assassination sentence2: The soul exception was the weekend of November 16 to 1719 63 the weekend before the assassination sentence3: a sole exception was the weekend of November sixteenth to seventeen nineteen sixty three, the weekend before the assassination","The sole exception was the weekend of November 16 to 17, 1963, the weekend before the ass","The sole exception was the weekend of November 16 to 17, 1963, the weekend before the assassination,"
10,"merge sentence1: as the emperor Julian was marching forward through Babylonia sentence2: As the emperor Julian was marching forward through Babylonia sentence3: the emperor Julian was marching forward through Babylon,","As the Emperor Julian was marching forward through Babylonia,","As the Emperor Julian was marching forward through Babylonia,"
11,"merge sentence1: at 11:45 p.m. on November twenty-two sentence2: Add 11:45 PM: on November 22 sentence3: at eleven forty five Pm on November twenty two,","At 11:45 p.m. on November 22,","At 11:45 p.m. on November 22,"
12,"merge sentence1: he had made only a few brief visits to the state since the 1960 presidential campaign he began to consider sentence2: He had made only a few brief visits to the state since the 1960 presidential campaign and in 1962 he began to consider a formal visit sentence3: had made only a few brief visits to the state since the nineteen sixty presidential campaign. And in nineteen sixty two, he began to consider a formal visit.","He had made only a few brief visits to the State since the 1960 Presidential campaign, and",He had made only a few brief visits to the State since the 1960 Presidential campaign and in 1962 he began to consider a formal visit.
13,merge sentence1: and it was now evidence sufficient to establish conclusively that the woman that's collected piecemeal had been barbarously done to death sentence2: And there was now evidence sufficient to establish conclusively that the woman does collected peacemeal had been barberously done to death sentence3: and there was now evidence sufficient to establish conclusive that the woman thus collected peace meal had been barb done to death.,and there was now evidence sufficient to establish conclusively that the woman thus collected piecemeal,and there was now evidence sufficient to establish conclusively that the woman thus collected piecemeal had been barbarously done to death.
14,"merge sentence1: which presently followed and found himself an inmate of Newgate sentence2: Which presently followed and again found himself in made of new gate waiting trial as a receiver and a prison breaker sentence3: which presently followed and again found himself an inmate of new gate, waking trial as a receiver and a prison breaker.","which presently followed, and again found himself an inmate of Newgate, waking trial","which presently followed, and again found himself an inmate of Newgate, waiting trial as a receiver and a prison-breaker."
15,merge sentence1: for this purpose he gave or there was the strongest presumption that he gave sentence2: For this purpose he gave sentence3: for this purpose he gave or there was the strongest presumption that he gave,"For this purpose he gave, or there was the strongest presumption that he","For this purpose he gave, or there was the strongest presumption that he gave,"
16,"merge sentence1: this Festival door is solid except for a small glass window in the upper part of the door sentence2: This festival door is solid except for a small glass window in the upper part of the door sentence3: this vest door is solid, except for a small glass window in the upper part of the door.","This vest door is solid, except for a small glass window in the upper part of the",This vestibule door is solid except for a small glass window in the upper part of the door.
17,"merge sentence1: turning around the topics of omnipotence and power for which he tries to compensate for his present shortcomings and frustrations and quote sentence2: Turning around the topics of omnipotence and power through which he tries to compensate for his present shortcomings and frustrations and quote sentence3: turning around the topics of omni and power, through which he tries to compensate for his present shortcomings and frustrations quote,",turning around the topics of omnipotence and power for which he tries to compensate,"turning around the topics of omnipotence and power, through which he tries to compensate for his present shortcomings and frustrations, end quote."
18,"merge sentence1: we do not get greatly excited nor is our Peace of Mind Disturbed whether we be businessman or workers or farmers sentence2: We do not get greatly excited sentence3: do not get greatly excited, nor is our peace of mind disturbed? Whether we be business men or workers or farmers,","We do not get greatly excited, nor is our peace of mind disturbed, whether we be business","We do not get greatly excited nor is our peace of mind disturbed, whether we be businessmen or workers or farmers,"
19,"merge sentence1: on Sunday November 17th 1963 sentence2: On Sunday November 17 1963 sentence3: Sunday, November seventeen nineteen sixty three,","On Sunday, November 17, 1963,","On Sunday, November 17, 1963,"
20,"merge sentence1: on the Monroe silent reading test Please score indicated no retardation and reading speed and comprehension sentence2: On the Monroe silent reading test sentence3: on the Mon monroe silent reading test, Lee's score indicated no re in reading speed and comprehension.","On the Monroe silent reading test, Lee's score indicated no retardation and reading speed and","On the Monroe Silent Reading Test, Lee's score indicated no retardation in reading speed and comprehension;"
21,merge sentence1: Givens thought this was about 11:55 a.m. sentence2: Given thought this was about 11:55 AM: sentence3: given thought this was about eleven fifty five Am.,Givens thought this was about 11:55 a.m.,Givens thought this was about 11:55 a.m.
22,merge sentence1: who wrote to the time saying that he believes a site so inconceivably awful sentence2: Who wrote to the Times saying that he believed a sight so inconceivably awful sentence3: who wrote to the times saying that he believed a site so inc awful,"who wrote to the Times, saying that he believed a sight so inconceivably awful","who wrote to the 'Times,' saying that he believed ""a sight so inconceivably awful"
23,"merge sentence1: expected difficulty from such an approach in fact sentence2: While he might have expected difficulty from such an approach in fact sentence3: he might have expected difficulty from such an approach, in fact,","While he might have expected difficulty from such an approach in fact,","While he might have expected difficulty from such an approach, in fact"
24,"merge sentence1: Rufus W Youngblood special agent-in-charge of the vice-presidents to tail sentence2: Rufus W youngblood special agent in charge of the vice president's detail sentence3: Ru w Young blood, special agent in charge of the vice president's detail","Rue W. Youngblood, special agent in charge of the Vice President's detail,","Rufus W. Youngblood, special agent in charge of the Vice President's detail,"
25,merge sentence1: Ashland's type is clear and neat and fairly well-designed sentence2: Cast one's type is clear and neat and fairly well designed sentence3: Castle one's type is clear and neat and fairly well designed.,Castle One's type is clear and neat and fairly well designed.,"Caslon's type is clear and neat, and fairly well designed;"
26,"merge sentence1: there are after all only a few types of structure class 3 or 4 or 8 sentence2: There are after all only a few types of structure among all animals and plants some three or four or eight or 10 general modes of development sentence3: there are after all, only a few types of structure among all animals and plants. Some three or four or eight or ten general modes of development,","There are, after all, only a few types of structure among all animals and plants.","there are, after all, only a few types of structure among all animals and plants, some three or four or eight or ten general modes of development,"
27,"merge sentence1: absurdity of the system it's irregularity and cruelty we're fully touched upon by the inspectors of prisons in their first report sentence2: Absurdity of the system. It's irregularity and cruelty. We're fully touched upon by the inspectors of prisons in their first report. sentence3: the absurdity of the system, it's irregular irregularities and cruelty, we're fully touched upon by the inspectors of prisons in their first report.","the absurdity of the system, its irregularities and cruelty, were fully touched upon by the","The absurdity of the system, its irregularity and cruelty, were fully touched upon by the inspectors of prisons in their first report."
28,merge sentence1: probably his complaint was due to the fact that his discharge was not related to anything he had done while on active duty sentence2: Probably his complaint was due to the fact that his discharge was not related to anything he had done while on active duty sentence3: probably his complaint was due to the fact that his discharge was not related to anything he had done while on active duty.,Probably his complaint was due to the fact that his discharge was not related to anything he,Probably his complaint was due to the fact that his discharge was not related to anything he had done while on active duty
29,"merge sentence1: caseload of each FBI agent average 2225 sentence2: The case load of HFBI agent averaged 20 to 25 and he felt that this was high sentence3: the case load of each Fbi agent averaged twenty to twenty five, and he felt that this was high.",The caseload of each FBI agent averaged 20 to 25 and he felt that this was,"the caseload of each FBI agent averaged 20 to 25, and he felt that this was high."
30,"merge sentence1: I never said anything to him and he never said anything to me again and quote sentence2: I never said anything to him again and he never said anything to me again end quote sentence3: never said anything to him again, and he never said anything to me again. And quote,","I never said anything to him again, and he never said anything to me again, end","I never said anything to him again and he never said anything to me again, end quote."
31,"merge sentence1: how did the mighty City fall State Bell along whose walls were strong enough to resist any army sentence2: How did the mighty city fall? sentence3: how did the mighty city fall? How could Cyrus take Babylon, whose walls were strong enough to resist any army.","How did the mighty city fall? How could Cyrus take Babylon, whose walls were","But how did the ""mighty city"" fall? How could Cyrus take Babylon whose walls were strong enough to resist any army?"
32,merge sentence1: these two small cartons have been moved from a stack about 3 miles away sentence2: These two small cartons have been moved from a stack about three aisles away sentence3: these two small cartons had been moved from a stack about three aisle away.,These two small cartons had been moved from a stack about three miles away.,These two small cartons had been moved from a stack about three aisles away.
33,merge sentence1: to them entered the chaplain or ordinary of Newgate in full canonical sentence2: To them enter the chaplain or ordinary of Newgate in Falcononicles sentence3: to them entered the chaplain or ordinary of new gate in full canonical.,"to them entered the chaplain, or ordinary of Newgate, in full canonical","To them entered the chaplain or ordinary of Newgate in full canonicals,"
34,merge sentence1: because it convinced him that the average Dallas Resident was like other American citizens and respecting and admiring the president sentence2: Because it convinced him that the average Dallas resident was like other American citizens in respecting and admiring the president sentence3: because it convinced him that the average Dallas resident was like other American citizens in respecting and ad the president,because it convinced him that the average Dallas resident was like other American citizens in respecting and admir,because it convinced him that the average Dallas resident was like other American citizens in respecting and admiring the President.
35,"merge sentence1: she had not been treated like a Christian but like a wild beast of the forest she declare that the money found in her possession had been sent her from abroad sentence2: She had not been treated like a Christian but like a wild beast of the forest she declared that the money found in her possession had been sent her from abroad sentence3: she had not been treated like a Christian, but like a wild beast of the forest. She declared that the money found in her possession had been sent her from abroad","She had not been treated like a Christian, but like a wild beast of the forest","She had not been treated like a Christian, but like a wild beast of the forest. She declared that the money found in her possession had been sent her from abroad;"
36,merge sentence1: threatens to use it on mrs. sentence2: And threatened to use it on Mrs. Pet sentence3: threatened to use it on missus pick.,and threatened to use it on Mrs. Pete.,and threatened to use it on Mrs. Pic.
37,"merge sentence1: is found the same part variously modified for many purposes sentence2: Hey found the same part sentence3: is found the same part, various modified for many purposes.","is found the same part, variously modified for many purposes.","is found the same part, variously modified for many purposes."
38,"merge sentence1: if her estimate of time is correct she reached the bottom of the stairs before truly and Baker started up sentence2: If her estimate of time is correct she reached the bottom of the stairs before truly in Bakers started up sentence3: her estimate of time is correct, she reached the bottom of the stairs before truly and baker started up.","If her estimate of time is correct, she reached the bottom of the stairs before Truly and","If her estimate of time is correct, she reached the bottom of the stairs before Truly and Baker started up,"
39,merge sentence1: the commission believes that the liaison between all federal agencies responsible for presidential protection should be improved sentence2: The commission believes that the liaison between all federal agencies responsible for presidential protection should be improved. sentence3: the Commission believes that the liaison liaison between all federal agencies responsible for presidential protection should be improved,The Commission believes that the liaison between all Federal agencies responsible for Presidential protection should be improved,the Commission believes that the liaison between all Federal agencies responsible for Presidential protection should be improved.
40,"merge sentence1: at most of the club's the servants had been melted to make good lost plate which had no doubt been stolen by The Prisoner sentence2: At most of the clubs the servants had been melted to make good lost plate which had no doubt been stolen by the prisoner sentence3: at most of the clubs, the servants had been molt to make good loss plate, which had no doubt been stolen by the prisoner.","At most of the clubs the servants had been melted to make good lost plate, which","At most of the clubs the servants had been mulcted to make good lost plate, which had no doubt been stolen by the prisoner."
41,merge sentence1: even after his wife told him to destroy the notebook sentence2: Even after his wife told him to destroy the notebook sentence3: even after his wife told him to destroy the notebook,even after his wife told him to destroy the notebook.,Even after his wife told him to destroy the notebook
