,input,output,label
0,"merge sentence1: Foreigners been dictive reckless and sentence2: foreigners, vin, reckless and t easily moved to murderous rage.","Foreigners, vindictive, reckless, and tetrassively moved to","foreigners, vindictive, reckless, and truculent ruffians, easily moved to murderous rage."
1,"merge sentence1: Cummings was repeatedly run in for the offensive coining and uttering bad money sentence2: cummings was repeatedly run for the offense of coin and utter bad money, whether coin or notes.",Cummings was repeatedly run in for the offense of coining and uttering bad money,"Cummings was repeatedly ""run in"" for the offense of coining and uttering bad money, whether coin or notes."
2,"merge sentence1: Through the aperture he crept out onto the landing at the dead of night and so down into the central space of the building sentence2: through the aperture, he crept out onto the landing at the dead of night and so down into the central space of the building.","Through the aperture he crept out onto the landing at the dead of night, and so","Through the aperture he crept out on to the landing at the dead of night, and so down into the central space of the building."
3,"merge sentence1: Two other witnesses Sam Guinyard and William Arthur Smith sentence2: two other witnesses, Sam Gin, and William Arthur Smith","Two other witnesses, Sam Ginyard and William Arthur Smith,","Two other witnesses, Sam Guinyard and William Arthur Smith,"
4,merge sentence1: To those in other london prisons for new gate was not the only place of durans for these unfortunate people they were also the king's bench sentence2: to those in other London prisons for new was not the only place of endurance for these unfortunate people. There were also the king's bench.,"To those in other London prisons, for Newgate was not the only place of durance","to those in other London prisons, for Newgate was not the only place of durance for these unfortunate people. There were also the King's Bench,"
5,merge sentence1: I shall employ all means to write this gross mistake or injustice to a bonafide US citizen and ex serviceman sentence2: shall employ all means to write this gross mistake or injustice to a bona. Us citizen and ex service,I shall employ all means to write this gross mistake or injustice to a bona fide,I shall employ all means to right this gross mistake or injustice to a bona fide U.S. citizen and ex-service man.
6,"merge sentence1: Protecting the president is a difficult and complex task which requires full use of the best resources of many parts sentence2: protecting the president is a difficult and complex task, which requires full use of the best resources of many parts of our government.",Protecting the President is a difficult and complex task which requires full use of the best resources,Protecting the President is a difficult and complex task which requires full use of the best resources of many parts of our Government.
7,"merge sentence1: Here once more the almost invariable modern practice is in opposition to a natural sense of proportion sentence2: here once more, the almost variable modern practice is in opposition to a natural sense of proportion.",Here once more the almost invariable modern practice is in opposition to a natural sense of,Here once more the almost invariable modern practice is in opposition to a natural sense of proportion.
8,merge sentence1: But the presents and authority of the governor himself became indispensable sentence2: the presence and authority of the governor himself became indispensable.,but the presence and authority of the governor himself became indispensable.,but the presence and authority of the governor himself became indispensable.
9,"merge sentence1: The soul exception was the weekend of November 16 to 1719 63 the weekend before the assassination sentence2: a sole exception was the weekend of November sixteenth to seventeen nineteen sixty three, the weekend before the assassination","The sole exception was the weekend of November 16 to 1719 63, the weekend before the","The sole exception was the weekend of November 16 to 17, 1963, the weekend before the assassination,"
10,"merge sentence1: As the emperor Julian was marching forward through Babylonia sentence2: the emperor Julian was marching forward through Babylon,","As the Emperor Julian was marching forward through Babylonia,","As the Emperor Julian was marching forward through Babylonia,"
11,"merge sentence1: Add 11:45 PM: on November 22 sentence2: at eleven forty five Pm on November twenty two,","At 11:45 p.m. on November 22,","At 11:45 p.m. on November 22,"
12,"merge sentence1: He had made only a few brief visits to the state since the 1960 presidential campaign and in 1962 he began to consider a formal visit sentence2: had made only a few brief visits to the state since the nineteen sixty presidential campaign. And in nineteen sixty two, he began to consider a formal visit.","He had made only a few brief visits to the State since the 1960 Presidential campaign, and",He had made only a few brief visits to the State since the 1960 Presidential campaign and in 1962 he began to consider a formal visit.
13,merge sentence1: And there was now evidence sufficient to establish conclusively that the woman does collected peacemeal had been barberously done to death sentence2: and there was now evidence sufficient to establish conclusive that the woman thus collected peace meal had been barb done to death.,and there was now evidence sufficient to establish conclusively that the woman thus collected peacemeal,and there was now evidence sufficient to establish conclusively that the woman thus collected piecemeal had been barbarously done to death.
14,"merge sentence1: Which presently followed and again found himself in made of new gate waiting trial as a receiver and a prison breaker sentence2: which presently followed and again found himself an inmate of new gate, waking trial as a receiver and a prison breaker.","which presently followed, and again found himself an inmate of Newgate, waking trial","which presently followed, and again found himself an inmate of Newgate, waiting trial as a receiver and a prison-breaker."
15,merge sentence1: For this purpose he gave sentence2: for this purpose he gave or there was the strongest presumption that he gave,"For this purpose he gave, or there was the strongest presumption that he","For this purpose he gave, or there was the strongest presumption that he gave,"
16,"merge sentence1: This festival door is solid except for a small glass window in the upper part of the door sentence2: this vest door is solid, except for a small glass window in the upper part of the door.","This vest door is solid, except for a small glass window in the upper part of the",This vestibule door is solid except for a small glass window in the upper part of the door.
17,"merge sentence1: Turning around the topics of omnipotence and power through which he tries to compensate for his present shortcomings and frustrations and quote sentence2: turning around the topics of omni and power, through which he tries to compensate for his present shortcomings and frustrations quote,",Turning around the topics of omnipotence and power through which he tries to,"turning around the topics of omnipotence and power, through which he tries to compensate for his present shortcomings and frustrations, end quote."
18,"merge sentence1: We do not get greatly excited sentence2: do not get greatly excited, nor is our peace of mind disturbed? Whether we be business men or workers or farmers,","We do not get greatly excited, nor is our peace of mind disturbed Whether we be business","We do not get greatly excited nor is our peace of mind disturbed, whether we be businessmen or workers or farmers,"
19,"merge sentence1: On Sunday November 17 1963 sentence2: Sunday, November seventeen nineteen sixty three,","On Sunday, November 17, 1963,","On Sunday, November 17, 1963,"
20,"merge sentence1: On the Monroe silent reading test sentence2: on the Mon monroe silent reading test, Lee's score indicated no re in reading speed and comprehension.","On the Monroe silent reading test, Lee's score indicated no resurgence in reading","On the Monroe Silent Reading Test, Lee's score indicated no retardation in reading speed and comprehension;"
21,merge sentence1: Given thought this was about 11:55 AM: sentence2: given thought this was about eleven fifty five Am.,Given thought this was about 11:55 a.m.,Givens thought this was about 11:55 a.m.
22,merge sentence1: Who wrote to the Times saying that he believed a sight so inconceivably awful sentence2: who wrote to the times saying that he believed a site so inc awful,"who wrote to the Times, saying that he believed a sight so inconceivably awful","who wrote to the 'Times,' saying that he believed ""a sight so inconceivably awful"
23,"merge sentence1: While he might have expected difficulty from such an approach in fact sentence2: he might have expected difficulty from such an approach, in fact,","While he might have expected difficulty from such an approach in fact,","While he might have expected difficulty from such an approach, in fact"
