,input,output,label
0,translate English to English: Foreigners been dictive reckless and,"Foreigners were dictive, reckless, and ill-tempered.","foreigners, vindictive, reckless, and truculent ruffians, easily moved to murderous rage."
1,translate English to English: Cummings was repeatedly run in for the offensive coining and uttering bad money,"Cummings was repeatedly run in for the offensive, coining and uttering bad money","Cummings was repeatedly ""run in"" for the offense of coining and uttering bad money, whether coin or notes."
2,translate English to English: Through the aperture he crept out onto the landing at the dead of night and so down into the central space of the building,"Through the aperture he crept out onto the landing at the dead of night, and so","Through the aperture he crept out on to the landing at the dead of night, and so down into the central space of the building."
3,translate English to English: Two other witnesses Sam Guinyard and William Arthur Smith,"Two other witnesses, Sam Guinyard and William Arthur Smith,","Two other witnesses, Sam Guinyard and William Arthur Smith,"
4,translate English to English: To those in other london prisons for new gate was not the only place of durans for these unfortunate people they were also the king's bench,to those in other London prisons for Newgate was not the only place of durans,"to those in other London prisons, for Newgate was not the only place of durance for these unfortunate people. There were also the King's Bench,"
5,translate English to English: I shall employ all means to write this gross mistake or injustice to a bonafide US citizen and ex serviceman,I shall employ all means to write this gross mistake or injustice to a bona fide,I shall employ all means to right this gross mistake or injustice to a bona fide U.S. citizen and ex-service man.
6,translate English to English: Protecting the president is a difficult and complex task which requires full use of the best resources of many parts,Protecting the President is a difficult and complex task which requires full use of the best resources,Protecting the President is a difficult and complex task which requires full use of the best resources of many parts of our Government.
7,translate English to English: Here once more the almost invariable modern practice is in opposition to a natural sense of proportion,Here once more the almost invariable modern practice is in opposition to a natural sense of,Here once more the almost invariable modern practice is in opposition to a natural sense of proportion.
8,translate English to English: But the presents and authority of the governor himself became indispensable,But the presents and authority of the governor himself became indispensable.,but the presence and authority of the governor himself became indispensable.
9,translate English to English: The soul exception was the weekend of November 16 to 1719 63 the weekend before the assassination,"The soul exception was the weekend of November 16 to 1719, 63, the weekend before","The sole exception was the weekend of November 16 to 17, 1963, the weekend before the assassination,"
10,translate English to English: As the emperor Julian was marching forward through Babylonia,"As the Emperor Julian was marching forward through Babylonia,","As the Emperor Julian was marching forward through Babylonia,"
11,translate English to English: Add 11:45 PM: on November 22,"at 11:45 p.m. on November 22,","At 11:45 p.m. on November 22,"
12,translate English to English: He had made only a few brief visits to the state since the 1960 presidential campaign and in 1962 he began to consider a formal visit,"He had made only a few brief visits to the State since the 1960 Presidential campaign, and",He had made only a few brief visits to the State since the 1960 Presidential campaign and in 1962 he began to consider a formal visit.
13,translate English to English: And there was now evidence sufficient to establish conclusively that the woman does collected peacemeal had been barberously done to death,"and there was now evidence sufficient to establish conclusively that the woman's ""frieden",and there was now evidence sufficient to establish conclusively that the woman thus collected piecemeal had been barbarously done to death.
14,translate English to English: Which presently followed and again found himself in made of new gate waiting trial as a receiver and a prison breaker,"which presently followed, and again found himself in made of Newgate, waiting trial as ","which presently followed, and again found himself an inmate of Newgate, waiting trial as a receiver and a prison-breaker."
15,translate English to English: For this purpose he gave,For this purpose he gave,"For this purpose he gave, or there was the strongest presumption that he gave,"
16,translate English to English: This festival door is solid except for a small glass window in the upper part of the door,"This festival door is solid, except for a small glass window in the upper part of the",This vestibule door is solid except for a small glass window in the upper part of the door.
