,input,output,label
0,Foreigners been dictive reckless and,will and return and other traffic have been puzzles,"foreigners, vindictive, reckless, and truculent ruffians, easily moved to murderous rage."
1,Cummings was repeatedly run in for the offensive coining and uttering bad money,cummings was caught in fear . after it suddenly spent the demeanor and sergeant zahm could probably assumed,"Cummings was repeatedly ""run in"" for the offense of coining and uttering bad money, whether coin or notes."
2,Through the aperture he crept out onto the landing at the dead of night and so down into the central space of the building,through the instrumentality of oswalds scheme for the weapon and the time he asked or with his return to the paper bag .,"Through the aperture he crept out on to the landing at the dead of night, and so down into the central space of the building."
3,Two other witnesses Sam Guinyard and William Arthur Smith,two years after a motorcade . section parkland .,"Two other witnesses, Sam Guinyard and William Arthur Smith,"
4,To those in other london prisons for new gate was not the only place of durans for these unfortunate people they were also the king's bench,"to present a protective task of all information regarding the status or other persons , in which the question was provided .","to those in other London prisons, for Newgate was not the only place of durance for these unfortunate people. There were also the King's Bench,"
5,I shall employ all means to write this gross mistake or injustice to a bonafide US citizen and ex serviceman,i shall ask to take high secret service and nitrogen and our recovery has been more from an informal to order .,I shall employ all means to right this gross mistake or injustice to a bona fide U.S. citizen and ex-service man.
6,Protecting the president is a difficult and complex task which requires full use of the best resources of many parts,"detailed the same plan was still without establishing the emergency purpose of the president and crescent reports day alone death and its regular ,",Protecting the President is a difficult and complex task which requires full use of the best resources of many parts of our Government.
7,Here once more the almost invariable modern practice is in opposition to a natural sense of proportion,here during this period the last are present representatives of our detention as that more common affairs was still insufficiently unknown .,Here once more the almost invariable modern practice is in opposition to a natural sense of proportion.
8,But the presents and authority of the governor himself became indispensable,but the chaplain admitted that the solitude of the old ship,but the presence and authority of the governor himself became indispensable.
9,The soul exception was the weekend of November 16 to 1719 63 the weekend before the assassination,the planning document between the discovery of the name was doubted with the white house until newgate .,"The sole exception was the weekend of November 16 to 17, 1963, the weekend before the assassination,"
10,As the emperor Julian was marching forward through Babylonia,as the motorcade approached its file .,"As the Emperor Julian was marching forward through Babylonia,"
11,Add 11:45 PM: on November 22,convicted word have have seen .,"At 11:45 p.m. on November 22,"
12,He had made only a few brief visits to the state since the 1960 presidential campaign and in 1962 he began to consider a formal visit,he had every other reading until the day he was preparing with the whole in the defaulter .,He had made only a few brief visits to the State since the 1960 Presidential campaign and in 1962 he began to consider a formal visit.
13,And there was now evidence sufficient to establish conclusively that the woman does collected peacemeal had been barberously done to death,and same he give people on me or but he would substitute for the united states by which he suffered .,and there was now evidence sufficient to establish conclusively that the woman thus collected piecemeal had been barbarously done to death.
14,Which presently followed and again found himself in made of new gate waiting trial as a receiver and a prison breaker,"which obtained months for sale and a bit of boiled chaos , but for messrs . crawford and russell were limited to replace the murder of lee .","which presently followed, and again found himself an inmate of Newgate, waiting trial as a receiver and a prison-breaker."
15,For this purpose he gave,for positively wakefield his own body was done .,"For this purpose he gave, or there was the strongest presumption that he gave,"
16,This festival door is solid except for a small glass window in the upper part of the door,this man i saw nixons name might cut a black warehouse at the name of the city on the morning of execution,This vestibule door is solid except for a small glass window in the upper part of the door.
17,Turning around the topics of omnipotence and power through which he tries to compensate for his present shortcomings and frustrations and quote,police could not have been moved on the streets of floor and right whom he had done the . end quote .,"turning around the topics of omnipotence and power, through which he tries to compensate for his present shortcomings and frustrations, end quote."
18,We do not get greatly excited,we cannot continue to protect him toward new orleans .,"We do not get greatly excited nor is our peace of mind disturbed, whether we be businessmen or workers or farmers,"
19,On Sunday November 17 1963,on november .,"On Sunday, November 17, 1963,"
20,On the Monroe silent reading test,on the middle fully john worth,"On the Monroe Silent Reading Test, Lee's score indicated no retardation in reading speed and comprehension;"
21,Given thought this was about 11:55 AM:,mentioned my lunch sack with president kennedy and throw away,Givens thought this was about 11:55 a.m.
22,Who wrote to the Times saying that he believed a sight so inconceivably awful,who threatened to close the law to leave suspending light not frequently stated at the time to their execution .,"who wrote to the 'Times,' saying that he believed ""a sight so inconceivably awful"
23,While he might have expected difficulty from such an approach in fact,while he apparently intimated in the soviet union,"While he might have expected difficulty from such an approach, in fact"
24,Rufus W youngblood special agent in charge of the vice president's detail,traced these evidence with oswalds address in the area before lees personal visit .,"Rufus W. Youngblood, special agent in charge of the Vice President's detail,"
25,Cast one's type is clear and neat and fairly well designed,less picturesque than four hundred and eighty furlongs .,"Caslon's type is clear and neat, and fairly well designed;"
26,There are after all only a few types of structure among all animals and plants some three or four or eight or 10 general modes of development,there should be at least a full place of credit our trip and plants are resources of a reprieve .,"there are, after all, only a few types of structure among all animals and plants, some three or four or eight or ten general modes of development,"
27,Absurdity of the system. It's irregularity and cruelty. We're fully touched upon by the inspectors of prisons in their first report.,ran for the house of climbing to the place and condemned in irons .,"The absurdity of the system, its irregularity and cruelty, were fully touched upon by the inspectors of prisons in their first report."
28,Probably his complaint was due to the fact that his discharge was not related to anything he had done while on active duty,apparently one he saw unable to get if he could not identify the marines if he heard nothing but he was doing .,Probably his complaint was due to the fact that his discharge was not related to anything he had done while on active duty
29,The case load of HFBI agent averaged 20 to 25 and he felt that this was high,the change added greatly to some extent by gas and state of prisoners being effected by these poor debtors who may be considered important .,"the caseload of each FBI agent averaged 20 to 25, and he felt that this was high."
30,I never said anything to him again and he never said anything to me again end quote,i ask him and you say you . well ! and i united reason why he was positive .,"I never said anything to him again and he never said anything to me again, end quote."
31,How did the mighty city fall?,how you can find the workers on the lawyers side .,"But how did the ""mighty city"" fall? How could Cyrus take Babylon whose walls were strong enough to resist any army?"
32,These two small cartons have been moved from a stack about three aisles away,these one who gave a new precedent for an action against her duties .,These two small cartons had been moved from a stack about three aisles away.
33,To them enter the chaplain or ordinary of Newgate in Falcononicles,to be determined as animals of the u . s . watts had present knowledge of this album .,"To them entered the chaplain or ordinary of Newgate in full canonicals,"
34,Because it convinced him that the average Dallas resident was like other American citizens in respecting and admiring the president,because that debtors might be said that the target is arrangements used for the life that after the assassination was in the warehouse .,because it convinced him that the average Dallas resident was like other American citizens in respecting and admiring the President.
35,She had not been treated like a Christian but like a wild beast of the forest she declared that the money found in her possession had been sent her from abroad,"she had left then a rifle in the window as lee harvey oswald was standing in the carriage , and none were she .","She had not been treated like a Christian, but like a wild beast of the forest. She declared that the money found in her possession had been sent her from abroad;"
36,And threatened to use it on Mrs. Pet,and told him a white fellow named kay .,and threatened to use it on Mrs. Pic.
37,Hey found the same part,returned about the marines or about the united states .,"is found the same part, variously modified for many purposes."
38,If her estimate of time is correct she reached the bottom of the stairs before truly in Bakers started up,if he know pass in the marine corps reserve a weapon with the butt of the gun when it was imparted to messrs .,"If her estimate of time is correct, she reached the bottom of the stairs before Truly and Baker started up,"
39,The commission believes that the liaison between all federal agencies responsible for presidential protection should be improved.,the commission has found that the secret service could do on the presidential plane might necessarily wasted .,the Commission believes that the liaison between all Federal agencies responsible for Presidential protection should be improved.
40,At most of the clubs the servants had been melted to make good lost plate which had no doubt been stolen by the prisoner,at last the foundations of the criminal identification . not one went to put effect to that the prisoners had been done to remedy the cellar coffee .,"At most of the clubs the servants had been mulcted to make good lost plate, which had no doubt been stolen by the prisoner."
41,Even after his wife told him to destroy the notebook,even left for his purpose at her judgment where he could become psychological difficulties .,Even after his wife told him to destroy the notebook
42,That is a tremendous gain for the principles of democracy,that of my health after sentence is high against the most intense excitement passed .,That is a tremendous gain for the principles of democracy.
43,Day on the other hand,evidence on the other seconds,"Day, on the other hand, believed that sufficient traces of the print had been left on the rifle barrel,"
44,Into holes marked with numbers,into various walker test rapidly babylon .,into holes marked with numbers.
45,His captors having thus succeeded in their designs left him no doubt to realize the money,his general personality maintained as much as many years day in absolute years .,"His captors having thus succeeded in their designs, left him, no doubt to realize the money."
46,Let the forms have printed letters should follow more or less closely those of the written character and they follow them very closely,let the dough over anyone who are hit the matter of accident . its careless overend and trigger enforcement service .,"that the forms of printed letters should follow more or less closely those of the written character, and they followed them very closely."
47,They drove there and robs in on arrival did the honors of his house,they kept forged evidence on account of the old bailey . he was forced to feel such propaganda much .,"They drove there, and Robson on arrival did the honors of his house, rang for lunch to gain time,"
48,Made a voluntary confession to serve herbert taylor one morning at Windsor,wakefield never was known to return to dallas .,"made a voluntary confession to Sir Herbert Taylor one morning at Windsor; after which Thistlewood and his accomplices were closely watched,"
49,When the farmers were demanding legislation which would give them,when the judge assumed take him from the river plate took babylon .,"when the farmers were demanding legislation which would give them opportunities and incentives to organize themselves for a common advance,"
50,But the medical evidence was clear that the decapitation had been affected during life and the jury after a short deliberation,but the peer rushed forward and shook redpath warmly by the parade .,"But the medical evidence was clear that the decapitation had been effected during life, and the jury, after a short deliberation,"
51,The man continued a long 10th street,the man to twenty was five years .,The man continued along 10th Street. Mrs. Markham saw a police car slowly approach the man from the rear and stop alongside of him.
52,Perhaps seroditors had never been in Babylon,perhaps problems too well denied that they had been employed at large quantities in animals .,Perhaps Herodotus had never been in Babylon;
53,When vanity is strongly developed there is the keen anxiety to hear what is being said about them outside,when air force one touched down halfway from the seat from which the evidence was released .,When vanity is strongly developed there is the keen anxiety to hear what is being said about them outside.
54,It was particularly recommended by the committee on jails in 1814,it was agreed that the justices who had no good will be desirable in newgate,It was particularly recommended by the Committee on Jails in 1814
55,Your assistant to the director of the FBI testified that,during coldblooded premeditation she could have given the initially prospective scenes of dirt through the united states .,The assistant to the Director of the FBI testified that
56,He thought it contained tent polls or possibly other camping equipment such as a folding shovel,he made collections when it met name .,"He thought it contained tent poles, or possibly other camping equipment such as a folding shovel."
57,In one prison the bedsteds had been removed plus the prisoners should break them up and convert them into weapons of offense,in one corner open head had been taken from the yard no return by the floor and agents of the law .,In one prison the bedsteads had been removed lest the prisoners should break them up and convert them into weapons of offense.
58,Hey Vice President Johnson during the 1960 campaign,prior hard the presidents automobile hidell president kennedy was counterfeit buildings .,by Vice President Johnson during the 1960 campaign.
59,Favorite liberty to hire suitable sell accommodation from any neighbors who might have it to spare.,separation required a more stir . its situation too appears to see that almost up them to carry out that they had been omitted .,"they were at liberty to hire suitable cell accommodation from any neighbors who might have it to spare; the only proviso,"
60,The ordinary observes him looks to the sheriff since there's a loud the service for the dead.,the women might avoid the same hand specify some neighboring characteristics within the following press yard such as the government opening into the freeway .,"The ordinary observes him, looks to the sheriffs, and says aloud, 'The service for the dead!'"
61,Are better than mere personal strength than the accomplishment of such tasks as full to women to perform,have more common relations with such being that were not ready soon the fluted columns which might be permitted to throw the example .,are better than mere personal strength in the accomplishment of such tasks as fall to women to perform.
62,Giovanni Lani the Italian boy who murdered a French woman in the hay market,traced itself from the depository building end in lee harvey oswald .,"Giovanni Lanni, the Italian boy who murdered a Frenchwoman in the Haymarket,"
63,April 6 to 24 1963 Oswald's first public identification with that cause was in New Orleans,next to twenty years after oswald has been since his extreme rifle left in .,"April 6 to 24, 1963 Oswald's first public identification with that cause was in New Orleans."
64,Contracted with sheriffs and conveners to work by the job,latterly he left patrolman tippit on the back door and then drove off .,contracted with sheriffs and conveners to work by the job.
65,In light of these findings the commission evaluated the additional testimony of Stomball,in making a series of mailing states under the manufacture of congress,In light of these findings the Commission evaluated the additional testimony of Stombaugh
66,Which should be indications of a delicacy of material and manufacture which would of necessity increase its cost,which could be admitted by some potential destructive program of mind where shall have been done .,which should be indications of a delicacy of material and manufacture which would of necessity increase its cost.
67,The passport office of the Department of State in Washington,the hon . jerome is interested in the usual place of the three horses,"The Passport Office of the Department of State in Washington had no listing for Oswald requiring special treatment,"
68,A more alert and carefully considered treatment of the osbold case by the bureau might have brought about such a referral,a more complicated at all the fellows by which its proper bankers of buildings was given not useless and carefully satisfied .,a more alert and carefully considered treatment of the Oswald case by the Bureau might have brought about such a referral.
69,These considerations have induced the commission to believe,these considerations no doubt had weight to the nation .,These considerations have induced the Commission to believe
70,To the west of Babylon at a greater distance from the outer wall I constructed and enclosing wall 4000 cubits in length about the city,to the chlorophyll bodies are on the depraved . they were in the central criminal court the state side .,"To the west of Babylon, at a greater distance from the outer wall, I constructed an enclosing wall four thousand cubits in length about the city."
71,Take approximately 20 months to implement and require expenditures of approximately three 1 million dollars during that period,look at length advanced to a size of poor prison and learned their view .,"would take approximately 20 months to implement and require expenditures of approximately $3,000,000 during that period."
72,Hey finished reading a morning newspaper quote and put on a good suit,heard himself after a white rambler rifle had been taken and interrogated about .,"he finished reading a morning newspaper, quote, and put on a good suit. I saw that he took a pistol."
73,Hey Facebook make certain that the largest possible portion of the funds allotted,directed secretary dillon after the motorcade route referred to oswald on the head where the shots had been fired .,This will make certain that the largest possible portion of the funds allotted
74,Shows three employees looking out of the fifth floor window directly below the window from which the shots were fired,shows persons about four wards the opportunity of north beckley where they rushed along the landing traveling .,shows three employees looking out of the fifth-floor window directly below the window from which the shots were fired.
75,But no steps had been taken in parliament to enforce a better system of discipline,"but four hundred sovereigns were found in his high state of life to new orleans on a barrack sophisticated ,","but no steps had been taken in Parliament to enforce a better system of discipline,"
76,Hollow the heat in the center and pour in the milk working down the flour into the liquid with a spoon or your hands until it is thoroughly melted,benjamin and the weapon in the pressyard and the name was made for in the picture .,"hollow the heap in the center and pour in the milk, working down the flour into the liquid with a spoon or your hands until it is thoroughly melted."
77,The trip to Texas began with the departure of president and missus Kennedy from the White House,the court his rooms too showed an opportunity to visit the president and perhaps the united states,The trip to Texas began with the departure of President and Mrs. Kennedy from the White House
78,Wild beasts of the desert shell lie there,westbrook also saw a left front of the commissions agent organized over beckley .,Wild beasts of the desert shall lie there;
